Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
28-03-2023,0.346,0.349,0.343,0.348,6754605.6,29-03-2023,2334080.634,8143,3444359.8,1190728.021,0
27-03-2023,0.356,0.357,0.337,0.345,127210336.6,28-03-2023,44183728.29,120105,57030489.3,19810929.79,0
26-03-2023,0.351,0.361,0.349,0.356,91774166.9,27-03-2023,32651502.33,72275,43527420.9,15487753.24,0
25-03-2023,0.36,0.363,0.349,0.351,83603550.1,26-03-2023,29770936.39,83654,37953417.1,13530304.28,0
24-03-2023,0.372,0.372,0.355,0.36,112029219.9,25-03-2023,40641700.92,109763,52275535,18971364.58,0
23-03-2023,0.36,0.385,0.353,0.371,185937483.6,24-03-2023,68780307.09,186486,95616523.5,35374166.33,0
22-03-2023,0.369,0.387,0.349,0.36,342137114,23-03-2023,127050524.4,359706,172201236,63987288.46,0
21-03-2023,0.332,0.387,0.329,0.37,288467612.6,22-03-2023,103396919.9,287809,147048547.7,52722051.79,0
20-03-2023,0.345,0.346,0.331,0.332,124374313.8,21-03-2023,42174811.86,119529,59928337.6,20324022.08,0
19-03-2023,0.337,0.352,0.337,0.345,93233157.9,20-03-2023,32148684.11,97384,47358176.1,16333267.34,0
18-03-2023,0.349,0.357,0.335,0.337,160274762.9,19-03-2023,55729702.23,144196,78097449.2,27166855.61,0
17-03-2023,0.325,0.35,0.321,0.349,171206542.3,18-03-2023,57685328.99,160226,84573142.8,28500305.9,0
16-03-2023,0.324,0.329,0.317,0.325,148328841.2,17-03-2023,48063578.85,138164,71870654.4,23294030.64,0
15-03-2023,0.343,0.346,0.316,0.324,262199199.5,16-03-2023,87303478.96,202868,128594236.5,42878853.55,0
14-03-2023,0.343,0.368,0.336,0.343,243189873.1,15-03-2023,85285424.83,212910,120743806.6,42326631.42,0
13-03-2023,0.33,0.352,0.327,0.343,290767932.5,14-03-2023,98641344.23,268470,156749260.4,53175514.69,0
12/3/2023,0.305,0.331,0.301,0.33,148391745.7,13-03-2023,46331508.91,128884,77149304.9,24100681.42,0
11/3/2023,0.315,0.323,0.301,0.305,174341847.2,12/3/2023,54030316.32,162022,85610420.6,26545553.38,0
10/3/2023,0.31,0.318,0.298,0.315,184446629.2,11/3/2023,56788935.68,148800,91536539,28207592.83,0
9/3/2023,0.318,0.322,0.301,0.31,191520024.2,10/3/2023,59701621.65,127559,90470336.2,28203437.48,0
8/3/2023,0.331,0.333,0.313,0.318,110501100.5,9/3/2023,35628787.9,97286,53611724.1,17293037.39,0
7/3/2023,0.331,0.335,0.321,0.331,99209654.5,8/3/2023,32593724.16,85305,47272909.6,15538255.55,0
6/3/2023,0.337,0.339,0.329,0.331,72882197.2,7/3/2023,24278531.64,62856,36303715.1,12095340,0
5/3/2023,0.337,0.343,0.335,0.337,53269370.7,6/3/2023,18030471.34,53829,25189297.6,8526134.115,0
4/3/2023,0.343,0.345,0.33,0.337,56432771.9,5/3/2023,19063925.61,53014,27736954.5,9369593.935,0
3/3/2023,0.35,0.351,0.321,0.343,163025922,4/3/2023,54562645.85,139913,79206359.1,26511608.06,0
2/3/2023,0.36,0.361,0.344,0.35,81854576.8,3/3/2023,28749147.23,78671,40177243.4,14113214.25,0
1/3/2023,0.352,0.364,0.349,0.36,67671797.7,2/3/2023,24311805.19,75377,33270167.6,11949849.26,0
